,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall
0,"[1024, 256]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8322094398071673,0.6731113214612545,0.4894017454403631,0.9777512272430904,0.34907366757749914
1,"[1024, 256]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8413988921703222,0.6920864820877144,0.5269682048858856,0.9695268160682863,0.387981987188623
2,"[1024, 256]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8828960984158387,0.7814533459820264,0.6597697179713446,0.9429991588624753,0.5763966654144619
3,"[1024, 256]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9246021690693251,0.8703474280835428,0.8308580514571748,0.93409534749225,0.7607342102817061
4,"[1024, 256]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9308322548895825,0.894862865837893,0.8581833976579143,0.9017194681868176,0.8218216285045961
5,"[1024, 256]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8819771901375478,0.8584174954927939,0.7764993886384316,0.7632352442052908,0.8100073112961133
6,"[1024, 256]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9425637661292768,0.9099176860445457,0.881185641435275,0.9239705610320786,0.8435563441566849
7,"[1024, 256]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9456786743861381,0.9365324093007519,0.8962246496924073,0.8764312694340077,0.9181336565021146
8,"[1024, 256]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9248740025022016,0.8827328570036901,0.8434575353534287,0.8957744199052359,0.797044236686502
9,"[1024, 256]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9155299825125514,0.8751149762945453,0.8269301285958759,0.8651665232182756,0.7929636675673744
10,"[1024, 256]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9430718329630225,0.9154745403649652,0.8843612809330972,0.9154970357615946,0.8596839557033826
11,"[1024, 256]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9334045391272745,0.9208858419785255,0.876378692074159,0.8676813463183948,0.8950925836971926
12,"[1024, 256]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.787743260797337,0.5833236030072781,0.24947448675874542,0.9807234641119222,0.16837103587129412
13,"[1024, 256]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8157552918089586,0.6400696518284288,0.5152288636457647,0.9632755751062247,0.2837539121250982
14,"[1024, 256]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9227940421257879,0.8618330332199612,0.8257957524773799,0.9501687941314023,0.737640668659098
15,"[1024, 256]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8577344564791041,0.8661794393246804,0.7691281965724619,0.7249444090762098,0.8827672271116768
16,"[1024, 256]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9279205584684114,0.8914363012852935,0.8525107905404472,0.8931530050907324,0.8174318152733898
17,"[1024, 256]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9046775794831738,0.8739683004942538,0.8200622909633081,0.85057979845629,0.8122446549784506
18,"[1024, 256]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9125031174380194,0.9129192281503222,0.8450427819798575,0.7937297603755418,0.9138055331955547
19,"[1024, 256]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9434604909979564,0.9320487143211112,0.8907861046631658,0.8735839179601083,0.9090194430685854
20,"[1024, 256]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9220481661614446,0.878585797428704,0.8379298873902037,0.8958821427902558,0.790243427587232
21,"[1024, 256]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9220300108900114,0.8790544963021247,0.8377792618283788,0.8913654862152036,0.7915989002033904
22,"[1024, 256]",0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9227407566763024,0.8964447585191284,0.8458747431846927,0.8565653195897726,0.8434007600971816
23,"[1024, 256]",0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9416157784750908,0.9238848593891216,0.8855958780196941,0.8901616848133305,0.8882009091718368
24,"[500, 50]",0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7460982826178991,0.5000986301464605,0.0009857612503740732,1.0,0.00019726029292083664
25,"[500, 50]",0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7479774090780311,0.5038539553752536,0.07421875,1.0,0.007707910750507099
26,"[500, 50]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8420900673933875,0.6957113932839886,0.6135472260192008,0.9515088241874446,0.3988412327247232
27,"[500, 50]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.830891980776212,0.6723919056176667,0.686462256157057,0.9697818148029921,0.3493411546532128
28,"[500, 50]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8028564599317859,0.6138609538760494,0.3540513099737573,0.9792558130448882,0.22996601205924505
29,"[500, 50]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8114050601494714,0.6340889808173809,0.4004030202864041,0.9538002843598475,0.2746918307369858
30,"[500, 50]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9430542850637753,0.9197568359504524,0.8864277181443517,0.9024213243604213,0.8724376101496597
31,"[500, 50]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9439172205571534,0.928559250345061,0.8912170562909191,0.8859462686415212,0.8973678740464542
32,"[500, 50]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9115012025826038,0.8567161019547532,0.8103369950111112,0.8885467063344779,0.7452967800980492
33,"[500, 50]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9104506320581411,0.8609129007127022,0.8107928527984413,0.8732468920207801,0.760009333696064
34,"[500, 50]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9215551718987912,0.9046901468928648,0.8500818561962383,0.8329891648678199,0.8704984186503923
35,"[500, 50]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.941682182590805,0.9273796829350044,0.8866970238139379,0.8782445889965962,0.8986962508468161
36,"[500, 50]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7523776486691687,0.5125245242189671,0.07846414895135204,0.9985632183908045,0.025071806744716152
37,"[500, 50]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7460474954162739,0.5,,,0.0
38,"[500, 50]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8823139149855994,0.8166582560828791,0.8403594970684557,0.8447650437354889,0.681912064493153
39,"[500, 50]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.801461916202521,0.7121955360293102,0.4477514530994206,0.5596317794029343,0.5350967040351325
40,"[500, 50]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7988257948560904,0.6175641145326266,0.36905257018589044,0.9138765486575263,0.24996098134513556
41,"[500, 50]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8016244083170682,0.6130415774922489,0.32967414891600527,0.9856421193932426,0.22834037219114078
42,"[500, 50]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9221867100490846,0.9080634672187559,0.8544510422706143,0.8339955329613631,0.8794387557771847
43,"[500, 50]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9420390338049321,0.9172271480728382,0.8831984788732665,0.9039726778457423,0.8665075443361978
44,"[500, 50]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9089119434382932,0.855900679068139,0.8063963072509537,0.8757274955542129,0.748058974909892
45,"[500, 50]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9148522353717345,0.8668084310237859,0.8202384124221282,0.8801199392052114,0.7695622914846971
46,"[500, 50]",0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9429363488560188,0.9201530301336618,0.8860066805219484,0.899738259170034,0.8740572792104677
47,"[500, 50]",0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.946812085319863,0.9254354417104891,0.8941705116114781,0.9096920108302861,0.8821041020842006
48,[1024],0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9146847209767989,0.8678326875554623,0.8216382012286803,0.878189290895784,0.7727785303408172
49,[1024],0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.91756060535869,0.8808938832110744,0.8333668983161839,0.8702803088090129,0.8068913479859467
50,[1024],0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9055755076363731,0.8639672941535487,0.8075453577887984,0.8444779378461427,0.7796278868537068
51,[1024],0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.881300250916337,0.8550157328641184,0.7761554974458097,0.7717621963799135,0.8014474382430364
52,[1024],0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9264136995890755,0.9029391289233454,0.8550889921489755,0.8570124914787798,0.8551343146127073
53,[1024],0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9424454746660906,0.9124944458719659,0.8825130936910229,0.9165828581535707,0.8514246075455884
54,[1024],0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8969092748970239,0.8665868809836862,0.7944513491317624,0.8021789533219836,0.8049960602716137
55,[1024],0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8981110381214,0.8933648472785043,0.8181146872430872,0.7670517742484769,0.8840257659519745
56,[1024],0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.926431533984637,0.8845891017906936,0.8466373926083852,0.8998148197830474,0.7995376025842127
57,[1024],0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9238072248812422,0.8766268791004375,0.8385699753097446,0.9059428580422791,0.7808493122818027
58,[1024],0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9260761324418599,0.899441584047126,0.8534048882605351,0.8637421238093881,0.845214487298754
59,[1024],0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9190341103371222,0.9038078169980206,0.8456358597889453,0.8207907304743257,0.8729885342416533
60,[1024],0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9002103570537671,0.8497887674164757,0.7923760191033672,0.8531249131942358,0.7467915076985069
61,[1024],0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9133446430618342,0.8602340306980392,0.81361451775423,0.8980379090673472,0.7530772574122798
62,[1024],0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9214037557317528,0.8820161031247526,0.838242938747974,0.878250093480253,0.8019672158959924
63,[1024],0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9029547396274225,0.8685169332227216,0.8075197526077934,0.8211419066252356,0.7986592401583754
64,[1024],0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9285130185214424,0.8923423775754971,0.8540969433520278,0.8988481684005954,0.8185004290628883
65,[1024],0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9318986715251858,0.8911286130984314,0.858267709280705,0.9165059435846217,0.8084414185133753
66,[1024],0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9188344797053603,0.8697839306089081,0.825703751775162,0.8962234421828341,0.7698162445433783
67,[1024],0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9229093712170847,0.8929636159107265,0.8454869705920206,0.8615520160411808,0.8322203490748791
68,[1024],0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9267869126077086,0.8838094894705602,0.8467170691021965,0.9038776241681697,0.7964766112831069
69,[1024],0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9200158988264624,0.8702517437176853,0.8300164665356059,0.9014649543253977,0.7691850277479374
70,[1024],0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9147845019131221,0.884642813128686,0.8315225919703089,0.8465466356746578,0.8231203120663342
71,[1024],0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.9181188806715062,0.9035670746371538,0.845395444144193,0.8243437096087447,0.8735573692813265
